Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score
23.0,81.0,Medium,Medium,No,6.0,65.0,Medium,No,2,Medium,High,Public,Neutral,1.0,No,Female,98.7
19.0,76.0,Low,Medium,No,7.0,66.0,High,Yes,1,Low,Medium,Public,Neutral,4.0,No,Female,100.0
24.0,81.0,Low,Medium,Yes,6.0,100.0,Medium,Yes,2,Low,Medium,Public,Neutral,0.0,No,Male,100.0
29.0,85.0,Low,High,Yes,7.0,75.0,Medium,Yes,1,Medium,High,Public,Neutral,4.0,No,Female,100.0
19.0,80.0,Low,High,No,9.0,84.0,High,Yes,2,Medium,Medium,Public,Neutral,5.0,No,Female,100.0
19.0,80.0,Medium,Medium,Yes,7.0,66.0,Medium,Yes,1,Low,Low,Public,Neutral,1.0,No,Male,94.2
29.0,73.0,Low,Medium,Yes,5.0,66.0,Medium,Yes,1,Medium,Medium,Public,Neutral,3.0,No,Female,100.0
25.0,73.0,Medium,Medium,Yes,8.0,88.0,Medium,No,1,Medium,Low,Public,Neutral,5.0,No,Female,100.0
17.0,66.0,Medium,High,No,8.0,59.0,High,Yes,2,Low,High,Public,Neutral,2.0,No,Female,100.0
23.0,97.0,Medium,High,No,6.0,70.0,Medium,Yes,2,Low,Medium,Public,Negative,4.0,No,Female,100.0
17.0,68.0,Low,Low,Yes,8.0,75.0,High,Yes,0,High,Medium,Public,Positive,0.0,No,Male,97.6
17.0,73.0,Low,Low,No,9.0,76.0,Medium,No,1,Medium,High,Public,Negative,5.0,No,Male,87.6
21.0,73.0,Low,Medium,Yes,6.0,73.0,Medium,Yes,0,Medium,Low,Public,Positive,3.0,No,Male,94.8
9.0,89.0,Medium,Low,Yes,6.0,80.0,Low,Yes,4,Medium,Medium,Private,Positive,3.0,No,Male,86.0
10.0,77.0,Medium,Medium,No,8.0,83.0,Medium,Yes,1,Medium,High,Public,Positive,4.0,No,Female,91.4
17.0,92.0,High,Low,No,7.0,84.0,High,Yes,2,Low,Medium,Public,Neutral,6.0,No,Male,95.9
14.0,73.0,Medium,Medium,No,8.0,63.0,Low,Yes,1,Medium,High,Public,Positive,4.0,No,Female,88.8
22.0,83.0,Medium,High,No,7.0,72.0,Medium,Yes,0,Medium,Medium,Private,Negative,5.0,No,Female,100.0
15.0,72.0,Medium,High,No,8.0,89.0,Low,No,0,Medium,Low,Private,Negative,1.0,No,Female,95.2
12.0,100.0,Medium,Medium,No,5.0,86.0,High,No,4,Low,High,Public,Neutral,4.0,No,Male,100.0
29.0,68.0,Medium,Medium,No,8.0,59.0,Low,Yes,0,Low,Low,Public,Neutral,3.0,No,Male,91.7
19.0,83.0,Low,High,No,9.0,79.0,High,No,1,High,Low,Public,Negative,2.0,No,Male,91.9
20.0,86.0,Medium,Low,No,7.0,51.0,Medium,Yes,2,Medium,Medium,Public,Negative,0.0,No,Male,90.4
11.0,84.0,Medium,Medium,No,7.0,76.0,Low,Yes,0,Medium,High,Private,Neutral,4.0,No,Female,82.5
17.0,78.0,Medium,Medium,Yes,5.0,98.0,Medium,Yes,0,Medium,Medium,Public,Neutral,4.0,No,Female,94.8
21.0,79.0,Medium,Medium,No,8.0,64.0,Low,Yes,3,High,Medium,Public,Neutral,5.0,No,Male,91.6
13.0,80.0,Medium,Medium,Yes,8.0,65.0,Medium,Yes,1,Medium,Medium,Public,Neutral,5.0,No,Female,88.1
22.0,79.0,Medium,Low,Yes,7.0,84.0,Medium,Yes,0,Medium,Medium,Public,Positive,2.0,No,Male,100.0
16.0,90.0,Medium,Medium,No,8.0,56.0,Low,Yes,2,High,Medium,Private,Neutral,5.0,No,Female,79.0
18.0,100.0,Medium,Medium,Yes,7.0,67.0,High,Yes,2,Medium,Medium,Public,Positive,5.0,No,Male,100.0
16.0,74.0,Medium,Medium,Yes,8.0,82.0,Low,Yes,3,Low,Medium,Private,Positive,3.0,No,Female,94.8
31.0,66.0,Medium,Low,No,6.0,67.0,Medium,Yes,0,Low,High,Public,Neutral,3.0,No,Male,100.0
20.0,79.0,Medium,High,Yes,7.0,72.0,Medium,Yes,0,High,Medium,Public,Negative,2.0,No,Male,100.0
14.0,100.0,High,Medium,Yes,7.0,84.0,Medium,Yes,0,High,Low,Public,Negative,5.0,No,Male,92.6
25.0,72.0,Medium,Medium,No,7.0,80.0,Medium,No,2,Medium,High,Public,Neutral,1.0,No,Male,100.0
13.0,96.0,Medium,Medium,Yes,7.0,78.0,Medium,Yes,1,Medium,Medium,Public,Neutral,4.0,No,Female,87.0
21.0,97.0,High,Medium,Yes,7.0,71.0,Medium,Yes,1,Medium,High,Public,Positive,2.0,No,Male,100.0
8.0,74.0,Medium,Low,Yes,8.0,79.0,Medium,Yes,1,Medium,Low,Private,Neutral,1.0,No,Female,83.5
